,date,continent,location,male_smokers
549,2020Q3,Asia,Iran,1941.2
550,2020Q3,Asia,Iraq,0.0
551,2020Q3,Asia,Israel,3256.7999999999997
552,2020Q3,Asia,Japan,3100.4
553,2020Q3,Asia,Jordan,0.0
554,2020Q3,Asia,Kazakhstan,3965.2000000000003
555,2020Q3,Asia,Kuwait,3404.0
556,2020Q3,Asia,Kyrgyzstan,4646.0
557,2020Q3,Asia,Laos,4710.400000000001
558,2020Q3,Asia,Lebanon,3744.4
559,2020Q3,Asia,Malaysia,3900.7999999999997
560,2020Q3,Asia,Maldives,5060.0
561,2020Q3,Asia,Mongolia,4278.0
562,2020Q3,Asia,Myanmar,3238.4
563,2020Q3,Asia,Nepal,3477.6
564,2020Q3,Asia,North Korea,0.0
565,2020Q3,Asia,Oman,1435.2
566,2020Q3,Asia,Pakistan,3376.4
567,2020Q3,Asia,Palestine,0.0
568,2020Q3,Asia,Philippines,3753.6
569,2020Q3,Asia,Qatar,2474.7999999999997
570,2020Q3,Asia,Saudi Arabia,2336.7999999999997
571,2020Q3,Asia,Singapore,2603.6
572,2020Q3,Asia,South Korea,3762.7999999999997
573,2020Q3,Asia,Sri Lanka,2484.0
574,2020Q3,Asia,Syria,0.0
575,2020Q3,Asia,Taiwan,0.0
576,2020Q3,Asia,Tajikistan,0.0
577,2020Q3,Asia,Thailand,3569.6
578,2020Q3,Asia,Timor,7185.2
579,2020Q3,Asia,Turkey,3781.2000000000003
580,2020Q3,Asia,Turkmenistan,0.0
581,2020Q3,Asia,United Arab Emirates,3440.7999999999997
582,2020Q3,Asia,Uzbekistan,2272.4
583,2020Q3,Asia,Vietnam,4222.8
584,2020Q3,Asia,Yemen,2686.4
585,2020Q3,Europe,Albania,4710.400000000001
586,2020Q3,Europe,Andorra,3477.6
587,2020Q3,Europe,Austria,2842.7999999999997
588,2020Q3,Europe,Belarus,4241.2
589,2020Q3,Europe,Belgium,2888.7999999999997
590,2020Q3,Europe,Bosnia and Herzegovina,4388.400000000001
591,2020Q3,Europe,Bulgaria,4084.7999999999997
592,2020Q3,Europe,Croatia,3670.7999999999997
593,2020Q3,Europe,Cyprus,4848.400000000001
594,2020Q3,Europe,Czechia,3523.6
595,2020Q3,Europe,Denmark,1729.6000000000001
596,2020Q3,Europe,England,0.0
597,2020Q3,Europe,Estonia,3615.6
598,2020Q3,Europe,Faeroe Islands,0.0
599,2020Q3,Europe,Finland,2079.2000000000003
