,date,continent,location,diabetes_prevalence
570,2020Q3,Asia,Saudi Arabia,1630.2399999999998
571,2020Q3,Asia,Singapore,1011.08
572,2020Q3,Asia,South Korea,625.6
573,2020Q3,Asia,Sri Lanka,982.56
574,2020Q3,Asia,Syria,0.0
575,2020Q3,Asia,Taiwan,0.0
576,2020Q3,Asia,Tajikistan,654.12
577,2020Q3,Asia,Thailand,647.68
578,2020Q3,Asia,Timor,631.12
579,2020Q3,Asia,Turkey,1115.96
580,2020Q3,Asia,Turkmenistan,654.12
581,2020Q3,Asia,United Arab Emirates,1587.92
582,2020Q3,Asia,Uzbekistan,696.44
583,2020Q3,Asia,Vietnam,552.0
584,2020Q3,Asia,Yemen,492.2
585,2020Q3,Europe,Albania,927.36
586,2020Q3,Europe,Andorra,733.24
587,2020Q3,Europe,Austria,584.1999999999999
588,2020Q3,Europe,Belarus,476.55999999999995
589,2020Q3,Europe,Belgium,394.68
590,2020Q3,Europe,Bosnia and Herzegovina,927.36
591,2020Q3,Europe,Bulgaria,534.52
592,2020Q3,Europe,Croatia,514.28
593,2020Q3,Europe,Cyprus,850.08
594,2020Q3,Europe,Czechia,627.44
595,2020Q3,Europe,Denmark,589.72
596,2020Q3,Europe,England,0.0
597,2020Q3,Europe,Estonia,369.84
598,2020Q3,Europe,Faeroe Islands,0.0
599,2020Q3,Europe,Finland,529.92
600,2020Q3,Europe,France,438.84
601,2020Q3,Europe,Germany,764.5200000000001
602,2020Q3,Europe,Gibraltar,0.0
603,2020Q3,Europe,Greece,418.59999999999997
